site_id,site_name,site_type,month,year,filename,file_exists,excluded,pixel_valid,valid_mask,n_scenes,mean_cloud,patch_px,crs,exclude_reason
P002,Fujairah,terminal,2025_10,2025,S2_P002_Fujairah_2025_10.tif,1,0,1,1,8,2.89778725,320,EPSG:32640,
P002,Fujairah,terminal,2025_11,2025,S2_P002_Fujairah_2025_11.tif,1,0,1,1,7,0.6188465714285715,320,EPSG:32640,
P002,Fujairah,terminal,2025_12,2025,S2_P002_Fujairah_2025_12.tif,1,0,1,1,6,0.8936208333333333,320,EPSG:32640,
P002,Fujairah,terminal,2026_01,2026,S2_P002_Fujairah_2026_01.tif,1,0,1,1,7,20.559737428571427,320,EPSG:32640,
P002,Fujairah,terminal,2026_02,2026,S2_P002_Fujairah_2026_02.tif,1,0,1,1,7,9.073269714285715,320,EPSG:32640,
P002,Fujairah,terminal,2026_03,2026,S2_P002_Fujairah_2026_03.tif,1,0,1,1,4,23.031488999999997,320,EPSG:32640,
P002,Fujairah,terminal,2026_04,2026,S2_P002_Fujairah_2026_04.tif,1,0,1,1,5,19.102610600000002,320,EPSG:32640,
P002,Fujairah,terminal,2026_05,2026,S2_P002_Fujairah_2026_05.tif,1,0,1,1,8,21.8206355,320,EPSG:32640,
P002,Fujairah,terminal,2026_06,2026,S2_P002_Fujairah_2026_06.tif,1,0,1,1,6,23.96388083333333,320,EPSG:32640,
P003,RasTanura,terminal,2019_01,2019,S2_P003_RasTanura_2019_01.tif,1,0,1,1,8,30.810437249999996,256,EPSG:32639,
P003,RasTanura,terminal,2019_02,2019,S2_P003_RasTanura_2019_02.tif,1,0,1,1,10,28.3419465,256,EPSG:32639,
P003,RasTanura,terminal,2019_03,2019,S2_P003_RasTanura_2019_03.tif,1,0,1,1,9,18.956537,256,EPSG:32639,
P003,RasTanura,terminal,2019_04,2019,S2_P003_RasTanura_2019_04.tif,1,0,1,1,9,18.834230333333334,256,EPSG:32639,
P003,RasTanura,terminal,2019_05,2019,S2_P003_RasTanura_2019_05.tif,1,0,1,1,5,17.7538162,256,EPSG:32639,
P003,RasTanura,terminal,2019_06,2019,S2_P003_RasTanura_2019_06.tif,1,0,1,1,9,7.5192906666666675,256,EPSG:32639,
P003,RasTanura,terminal,2019_07,2019,S2_P003_RasTanura_2019_07.tif,1,0,1,1,12,22.61156366666667,256,EPSG:32639,
P003,RasTanura,terminal,2019_08,2019,S2_P003_RasTanura_2019_08.tif,1,0,1,1,12,15.817683416666668,256,EPSG:32639,
P003,RasTanura,terminal,2019_09,2019,S2_P003_RasTanura_2019_09.tif,1,0,1,1,12,6.563775,256,EPSG:32639,
P003,RasTanura,terminal,2019_10,2019,S2_P003_RasTanura_2019_10.tif,1,0,1,1,10,4.827270400000001,256,EPSG:32639,
P003,RasTanura,terminal,2019_11,2019,S2_P003_RasTanura_2019_11.tif,1,0,1,1,11,21.196187,256,EPSG:32639,
P003,RasTanura,terminal,2019_12,2019,S2_P003_RasTanura_2019_12.tif,1,0,1,1,12,12.31639533333333,256,EPSG:32639,
P003,RasTanura,terminal,2020_01,2020,S2_P003_RasTanura_2020_01.tif,1,0,1,1,10,10.127867499999999,256,EPSG:32639,
P003,RasTanura,terminal,2020_02,2020,S2_P003_RasTanura_2020_02.tif,1,0,1,1,10,16.2906752,256,EPSG:32639,
P003,RasTanura,terminal,2020_03,2020,S2_P003_RasTanura_2020_03.tif,1,0,1,1,10,13.5496126,256,EPSG:32639,
P003,RasTanura,terminal,2020_04,2020,S2_P003_RasTanura_2020_04.tif,1,0,1,1,9,18.065528555555556,256,EPSG:32639,
P003,RasTanura,terminal,2020_05,2020,S2_P003_RasTanura_2020_05.tif,1,0,1,1,8,17.522891125,256,EPSG:32639,
P003,RasTanura,terminal,2020_06,2020,S2_P003_RasTanura_2020_06.tif,1,0,1,1,10,7.4127409,256,EPSG:32639,
P003,RasTanura,terminal,2020_07,2020,S2_P003_RasTanura_2020_07.tif,1,0,1,1,8,19.744947375000002,256,EPSG:32639,
P003,RasTanura,terminal,2020_08,2020,S2_P003_RasTanura_2020_08.tif,1,0,1,1,11,19.47324372727273,256,EPSG:32639,
P003,RasTanura,terminal,2020_09,2020,S2_P003_RasTanura_2020_09.tif,1,0,1,1,12,4.171084166666668,256,EPSG:32639,
P003,RasTanura,terminal,2020_10,2020,S2_P003_RasTanura_2020_10.tif,1,0,1,1,13,0.7548522307692308,256,EPSG:32639,
P003,RasTanura,terminal,2020_11,2020,S2_P003_RasTanura_2020_11.tif,1,0,1,1,10,4.0558109,256,EPSG:32639,
